herd,year,est,sd,season_int
Telkwa,2011,0.4045285562131911,0.09745089103411436,1
Brazeau,1994,0.4090909090909091,0.08830583533673635,2
Brazeau,1997,0.14285714285714285,0.12371791482634838,2
Brazeau,1999,0.23076923076923078,0.10533126105868579,2
Brazeau,2001,0.2727272727272727,0.11902794012872311,2
Brazeau,2002,0,0,2
Brazeau,2017,0.4,0.1851640199545103,2
Brazeau,2018,0.3333333333333333,0.16666666666666669,2
Brazeau,2019,0.25,0.13693063937629152,2
Brazeau,2020,0.3333333333333333,0.16666666666666669,2
Brazeau,2021,0.16666666666666666,0.14085904245475278,2
Maligne,1994,0.3225806451612903,0.07300557488378943,2
Maligne,1997,0.08108108108108109,0.04315870114235489,2
Maligne,1999,0.2830188679245283,0.05462696871176343,2
Maligne,2001,0.17142857142857143,0.05885924017778028,2
Maligne,2002,0.5,0.14433756729740643,2
Takla,1993,0.20588235294117646,0.04465242594242417,1
Takla,1995,0.25,0.04841229182759271,1
Brazeau,2004,0.3333333333333333,0.11785113019775792,2
Brazeau,2015,0.16666666666666666,0.14085904245475278,2
Brazeau,2016,0.3333333333333333,0.13608276348795434,2
Burnt Pine,2008,0.18181818181818182,0.10697243734810039,1
Central Rockies,2002,0,0,1
Chase,2006,0.29126056047349763,0.04688261722621507,1
Columbia South,2006,0.04,0.03843075691322091,1
Frisby-Boulder,2006,0.23076923076923078,0.10533126105868579,1
Frisby-Boulder,2008,0.09090909090909091,0.08298826628866153,1
Groundhog,2021,0.25925925925925924,0.07515550462161368,1
Maligne,2010,0.3333333333333333,0.23570226039551584,2
Monashee,2002,0,0,1
Monashee,2006,0.16666666666666666,0.14085904245475278,1
Purcells South,2002,0.18181818181818182,0.10697243734810039,1
Barkerville,1994,0.18181818181818182,0.06176056549879613,1
Barkerville,1995,0.1,0.09045340337332909,1
Barkerville,1996,0.07142857142857142,0.06649638116080449,1
Barkerville,1997,0.25,0.06123724356957945,1
Brazeau,2005,0.3076923076923077,0.1119395192475383,2
Brazeau,2014,0,0,2
Columbia South,2008,0,0,1
Frisby-Boulder,1994,0.09090909090909091,0.04791329788133908,1
Frisby-Boulder,2004,0.3333333333333333,0.11785113019775792,1
Maligne,2006,0.14285714285714285,0.12371791482634838,2
Maligne,2007,0.4,0.1851640199545103,2
Maligne,2008,0,0,2
Maligne,2009,0.3333333333333333,0.23570226039551584,2
Telkwa,2010,0.20226427810659556,0.08863600391305174,1
Maligne,2013,0.2,0.16329931618554522,2
Maligne,2014,0,0,2
Monashee,2004,0.16666666666666666,0.14085904245475278,1
Purcells Central,1997,0.07001455780612924,0.07121693075173473,1
Purcells South,2000,0.08333333333333333,0.07665551758398331,1
Rainbows,2021,0.5,0.10206207261596575,3
Barkerville,2000,0.11764705882352941,0.05226607744933168,1
Barkerville,2001,0.34615384615384615,0.08041523681967341,1
Brazeau,2006,0.14285714285714285,0.07142857142857142,2
Brazeau,2010,0.2857142857142857,0.15058465048420855,2
Brazeau,2011,0.2,0.16329931618554522,2
Columbia South,2002,0.20833333333333334,0.07541392800006155,1
Columbia South,2004,0.1875,0.06331702814118473,1
Columbia South,2007,0.03225806451612903,0.03123373666296304,1
Columbia South,2009,0.18181818181818182,0.10697243734810039,1
Telkwa,2005,0.1736885155483013,0.055118755743164126,1
Klinse-Za,2012,0.13636363636363635,0.06863485850246136,1
Maligne,2005,0.16666666666666666,0.14085904245475278,2
Purcells Central,1996,0.08333333333333333,0.07665551758398331,1
Purcells South,1998,0,0,1
Barkerville,1993,0.45454545454545453,0.12448239943299229,1
Brazeau,2009,0.3,0.1270977818604485,2
Brazeau,2012,0.375,0.14596855203028555,2
Frisby-Boulder,1996,0.3333333333333333,0.10540925533894598,1
Frisby-Boulder,1997,0.12903225806451613,0.056665165526043865,1
Purcells South,1994,0.058823529411764705,0.03201947376187161,1
Purcells South,1997,0.12,0.06141195788629908,1
Purcells South,2013,0.17647058823529413,0.08524339262464375,1
South Selkirks,1991,0.175,0.055423898370994235,1
Barkerville,1998,0.13043478260869565,0.06604821959241304,1
Barkerville,1999,0.3333333333333333,0.10540925533894598,1
Brazeau,2007,0.21428571428571427,0.09951864943131943,2
Brazeau,2008,0.17647058823529413,0.08524339262464375,2
Central Rockies,1997,0.0625,0.058708527289232766,1
Frisby-Boulder,2002,0.3333333333333333,0.10540925533894598,1
Kennedy Siding,2021,0.25316455696202533,0.04370149710357074,1
Nakusp,2019,0.043478260869565216,0.0416272655546234,1
Purcells South,1996,0.02022642781065956,0.021733762085414478,1
South Selkirks,1992,0.06818181818181818,0.03676638666396588,1
Telkwa,2018,0.29411764705882354,0.09714386162879653,1
Wells Gray North,2002,0.20666666666666667,0.0300970396991046,1
Wolverine,2000,0.08751819725766155,0.027610747339191534,1
Barkerville,2002,0.20588235294117646,0.06314806636063648,1
Columbia North,2008,0.16981132075471697,0.033717928142336075,1
South Selkirks,1993,0.1590909090909091,0.051216761911475894,1
Telkwa,2019,0.3888888888888889,0.09749960430435692,1
