Parameter,DAU,Year,Age,Sex,Median,SD,LCL,UCL,Rhat,Rhat_UCL
Abundance,Tonquin,2003,Y,F,4,4,0,13,1,1.01
Abundance,Tonquin,2004,Y,F,9,3,3,15,1,1
Abundance,Tonquin,2005,Y,F,9,3,4,15,1,1
Abundance,Tonquin,2006,Y,F,12,3,7,17,1,1
Abundance,Tonquin,2007,Y,F,7,2,3,11,1,1
Abundance,Tonquin,2008,Y,F,15,2,10,19,1,1
Abundance,Tonquin,2009,Y,F,9,2,5,12,1,1
Abundance,Tonquin,2010,Y,F,4,2,0,8,1,1
Abundance,Tonquin,2011,Y,F,9,2,5,13,1,1
Abundance,Tonquin,2012,Y,F,3,2,-1,7,1,1
Abundance,Tonquin,2013,Y,F,10,2,7,14,1,1
Abundance,Tonquin,2014,Y,F,3,2,0,7,1,1
Abundance,Tonquin,2015,Y,F,2,1,0,5,1,1
Abundance,Tonquin,2016,Y,F,4,1,1,7,1,1
Abundance,Tonquin,2017,Y,F,4,1,2,7,1,1
Abundance,Tonquin,2018,Y,F,7,1,4,9,1,1
Abundance,Tonquin,2019,Y,F,3,2,0,8,1,1
Abundance,Tonquin,2003,J,F,10,7,1,25,1,1
Abundance,Tonquin,2004,J,F,3,3,0,13,1,1.01
Abundance,Tonquin,2005,J,F,8,3,1,15,1,1
Abundance,Tonquin,2006,J,F,9,3,2,14,1,1
Abundance,Tonquin,2007,J,F,12,3,5,17,1,1
Abundance,Tonquin,2008,J,F,7,2,3,11,1,1
Abundance,Tonquin,2009,J,F,15,2,10,19,1,1.01
Abundance,Tonquin,2010,J,F,5,3,0,11,1,1.01
Abundance,Tonquin,2011,J,F,3,2,0,7,1,1
Abundance,Tonquin,2012,J,F,1,1,0,6,1,1
Abundance,Tonquin,2013,J,F,2,2,0,7,1,1
Abundance,Tonquin,2014,J,F,9,2,3,13,1,1.01
Abundance,Tonquin,2015,J,F,1,1,0,4,1.01,1.01
Abundance,Tonquin,2016,J,F,2,1,0,5,1,1.01
Abundance,Tonquin,2017,J,F,4,2,0,7,1,1
Abundance,Tonquin,2018,J,F,4,2,1,7,1,1
Abundance,Tonquin,2019,J,F,3,3,0,8,1,1
Abundance,Tonquin,2003,S,F,10,6,1,24,1,1
Abundance,Tonquin,2004,S,F,8,5,0,21,1,1
Abundance,Tonquin,2005,S,F,3,3,0,11,1,1.01
Abundance,Tonquin,2006,S,F,7,3,1,13,1,1
Abundance,Tonquin,2007,S,F,7,3,2,12,1,1
Abundance,Tonquin,2008,S,F,10,3,4,15,1,1
Abundance,Tonquin,2009,S,F,6,2,2,10,1,1
Abundance,Tonquin,2010,S,F,10,2,6,15,1,1
Abundance,Tonquin,2011,S,F,4,3,0,9,1,1.01
Abundance,Tonquin,2012,S,F,2,2,0,6,1,1
Abundance,Tonquin,2013,S,F,1,1,0,5,1,1
Abundance,Tonquin,2014,S,F,2,1,0,5,1,1
Abundance,Tonquin,2015,S,F,6,2,2,10,1,1
Abundance,Tonquin,2016,S,F,1,1,0,4,1.01,1.01
Abundance,Tonquin,2017,S,F,1,1,0,4,1,1.01
Abundance,Tonquin,2018,S,F,3,2,0,7,1,1
Abundance,Tonquin,2019,S,F,3,1,1,6,1,1
Abundance,Tonquin,2003,A,F,23,10,4,42,1,1.01
Abundance,Tonquin,2004,A,F,25,8,10,40,1,1
Abundance,Tonquin,2005,A,F,27,5,16,38,1,1
Abundance,Tonquin,2006,A,F,24,4,17,32,1,1
