Reporting_Pop,Range_ID,Herd_ID,Year_END,Recruitment_Mean,Recruitment_SD,Recruitment_LCL95,Recruitment_UCL95,Survival_Mean,Survival_SD,Survival_LCL95,Survival_UCL95,Lambda_Mean,Lambda_SD,Lambda_LCL95,Lambda_UCL95,DemoMethod,LastUpdated,UpdatedBy,Treatment,KM_mean,KM_se,CollarsStartofYear,CSTotGroups,CSTotCollars,CSTotCaribou,CSTotCows,CSTotBulls,CSTotCalves,Comments
A La Peche,9,23,1999,0.109038018,0.013266499,0.084389451,0.137300022,0.891086756,0.062953769,0.740337009,0.979433411,1.003701945,0.070645382,0.839124564,1.108545893,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.892753623,0.058930104,21,30,56,293,179.55,69.45,44,
A La Peche,9,23,2000,0.110602654,0.027258026,0.065082234,0.171887395,0.892519303,0.062605271,0.738673227,0.979842214,1.004288733,0.076532751,0.832196112,1.133665502,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.892857143,0.058451221,28,11,24,116,67.75,31.25,17,
A La Peche,9,23,2001,0.077639534,0.015427249,0.051330517,0.11072387,0.961158128,0.03904678,0.854172257,0.999230566,1.041677182,0.046093774,0.924373138,1.108484391,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.96,0.039191836,25,17,31,145,94.4,34.6,16,
A La Peche,9,23,2002,,,,,0.912255975,0.062246655,0.758077536,0.990975716,,,,,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.912,0.059791638,29,,,,,,,
A La Peche,9,23,2003,0.081680441,0.021400935,0.046465379,0.130890381,0.827678572,0.077582724,0.655244284,0.950619852,0.903785604,0.08630113,0.710192961,1.046095166,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.829081633,0.069529096,28,10,21,95,66.9,16.1,12,
A La Peche,9,23,2004,0.068497464,0.021817424,0.034771221,0.118400195,0.984292166,0.022383029,0.924948094,1,1.05871929,0.034387672,0.986821194,1.126811587,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,1,0,24,11,23,104,66.9,27.1,10,
A La Peche,9,23,2005,0.027821302,0.01183216,0.011335694,0.056122271,0.841131219,0.078206726,0.660281113,0.960575856,0.865238835,0.082215376,0.678484227,0.992258586,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.84,0.073321211,25,15,19,99,68.8,26.2,4,
A La Peche,9,23,2006,0.103601811,0.0232379,0.063946282,0.154451974,0.847239071,0.089375769,0.640556098,0.974618556,0.946228797,0.101215631,0.712582361,1.102131095,Hervieux et al. 2013,4/15/2021 0:00,AF CS,Wolf control on Winter range,0.85,0.079843597,20,14,15,63,38.75,15.25,9,
A La Peche,9,23,2007,0.05415931,0.016492423,0.02871058,0.092271128,0.923171454,0.054847005,0.784809811,0.992531723,0.976594238,0.059836962,0.829976637,1.062895312,Hervieux et al. 2013,4/15/2021 0:00,AF CS,Wolf control on Winter range,0.923076923,0.05225894,17,15,18,71,61,3,7,
A La Peche,9,23,2008,0.064525474,0.023979158,0.028938865,0.119106677,0.839232632,0.081513661,0.652370975,0.960472286,0.899131833,0.086838304,0.705312099,1.044177052,Hervieux et al. 2013,4/15/2021 0:00,AF CS,Wolf control on Winter range,0.84,0.073321211,24,11,16,84,65,10,9,
A La Peche,9,23,2009,0.051800476,0.015905974,0.027332674,0.08879712,0.958505452,0.041347189,0.849356791,0.999136049,1.011432643,0.047366296,0.889844376,1.078498204,Hervieux et al. 2013,4/15/2021 0:00,AF CS,Wolf control on Winter range,0.958333333,0.040789375,24,22,25,97,82,6,9,
A La Peche,9,23,2010,0.129696821,0.027110883,0.082480229,0.18801799,0.729569057,0.092237601,0.531835481,0.889645911,0.833682388,0.107208073,0.609033442,1.024861417,Hervieux et al. 2013,4/15/2021 0:00,AF CS,Wolf control on Winter range,0.71875,0.079480429,33,11,22,92,60.3,13.7,18,
A La Peche,9,23,2011,0.040322114,0.016309506,0.017105026,0.079412473,0.841796888,0.078730794,0.663749844,0.963628734,0.879481559,0.082780505,0.68691278,1.00618376,Hervieux et al. 2013,4/15/2021 0:00,AF CS,Wolf control on Winter range,0.836956522,0.074525165,23,17,29,68,59,4,5,
A La Peche,9,23,2012,0.111668005,0.022737634,0.072190134,0.160817635,0.792164875,0.079091953,0.611927181,0.922427048,0.894761358,0.091221341,0.698292857,1.052966254,Hervieux et al. 2013,4/15/2021 0:00,AF CS,Wolf control on Winter range,0.810901001,0.069441023,33,12,27,66,47.3,6.7,12,
A La Peche,9,23,2013,0.072340564,0.016911535,0.043955556,0.110118577,0.89066053,0.06245516,0.745866902,0.979291556,0.960362828,0.069468684,0.799108034,1.065818621,Hervieux et al. 2013,4/15/2021 0:00,AF CS,Wolf control on Winter range,0.892857143,0.058451221,27,19,25,103,83,7,13,
A La Peche,9,23,2014,0.085239583,0.025592968,0.044548073,0.145236974,0.850444516,0.07470263,0.679459854,0.962369482,0.931335324,0.086487999,0.731254024,1.071965891,Hervieux et al. 2013,4/15/2021 0:00,AF CS,Wolf control winter and summer range,0.851851852,0.068367275,26,13,25,77,53,14,10,
A La Peche,9,23,2015,0.066395351,0.020518285,0.034835784,0.114084142,0.896208855,0.059862384,0.752752645,0.981282821,0.960217985,0.067313557,0.805048365,1.067058832,Hervieux et al. 2013,4/15/2021 0:00,AF CS,Wolf control winter and summer range,0.9,0.054772256,26,11,26,78,48.85,22.15,7,
A La Peche,9,23,2016,0.207,0.023,0.159,0.25,0.926,0.051,0.8,0.991,1.168,0.072,1.001,1.284,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control winter and summer range,0.925925926,0.050401024,27,16,25,84,42.3,19.7,22,
A La Peche,9,23,2017,0.14,0.025,0.091,0.19,0.963,0.037,0.864,0.999,1.12,0.054,0.995,1.21,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control winter and summer range,0.962962963,0.036344695,28,10,22,78,44.15,19.85,14,
A La Peche,9,23,2018,0.151,0.023,0.106,0.195,0.986,0.021,0.925,1,1.162,0.04,1.075,1.232,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control winter and summer range,1,0,31,27,34,96,54.15,22.85,19,
