Entered by?,"Animal ID (RS, CL)",Animal ID,WLHID,"Herd (RS, CL)",Herd,"Sex (F, M)",Age.when.collard,Date entry,Date exit,Suspected Mortality Date,Outcome,Cause,mortality.loc.easting,mortality.loc.northing,Comment,MonitoringDays,,
Baily McCulloch,C205S,C205S,NA,Scott,Scott,M,NA,NA,2007/05/24,2007/05/24,Mortality,NA,,,,#VALUE!,,
Serrouya,,,20-1345,Columbia North,Columbia North,F,Adult,2021/03/17,2021/03/31,NA,Alive,NA,,,,14,,
Serrouya,,,20-1351,Columbia North,Columbia North,F,Adult,2021/03/17,2021/03/31,NA,Alive,,,,,14,,
Serrouya,,,20-1348,Columbia North,Columbia North,F,Adult,2021/03/17,2021/03/31,NA,Alive,,,,,14,,
Serrouya,,,20-1346,Columbia North,Columbia North,F,Adult,2021/03/17,2021/03/31,NA,Alive,,,,,14,,
MJF from AMRoberts,TWC1069,TWC1069,20-1359,Tweedsmuir,Tweedsmuir,F,Adult,2021/03/03,2021/03/31,NA,Alive,NA,,,Still alive,28,,
MJF from AMRoberts,TWC1070,TWC1070,20-1902,Tweedsmuir,Tweedsmuir,F,Adult,2021/03/03,2021/03/31,NA,Alive,NA,,,Still alive,28,,
MJF from AMRoberts,TWC1071,TWC1071,20-1363,Tweedsmuir,Tweedsmuir,F,Adult,2021/03/03,2021/03/31,NA,Alive,NA,,,Still alive,28,,
MJF from AMRoberts,TWC1067,TWC1067,20-1358,Tweedsmuir,Tweedsmuir,F,Adult,2021/03/02,2021/03/31,NA,Alive,NA,,,Still alive,29,,
MJF from AMRoberts,TWC1068,TWC1068,20-1360,Tweedsmuir,Tweedsmuir,F,Adult,2021/03/02,2021/03/31,NA,Alive,NA,,,Still alive,29,,
MJF from AMRoberts,TWC1066,TWC1066,20-1356,Tweedsmuir,Tweedsmuir,F,Adult,2021/02/27,2021/03/31,NA,Alive,NA,,,Still alive,32,,
MJF from AMRoberts,TWC1022,TWC1022_2,20-1362,Tweedsmuir,Tweedsmuir,F,Adult,2021/02/24,2021/03/31,NA,Alive,NA,,,"Still alive, this was a re-collaring of TWC1022.  First collar failed and a gap in monitoring so this was new line.",35,,
MJF from AMRoberts,TWC1064,TWC1064,20-1361,Tweedsmuir,Tweedsmuir,F,Adult,2021/02/24,2021/03/31,NA,Alive,NA,,,Still alive,35,,
Kevin Watt,47,NA,20-1928,Graham,Graham,F,Adult,2021/02/23,2021/03/31,NA,Alive,NA,,,,36,,
Kevin Watt,51,NA,20-1989,Graham,Graham,F,Adult,2021/02/23,2021/03/31,NA,Alive,NA,,,,36,,
Kevin Watt,49,NA,20-1970,Graham,Graham,F,Adult,2021/02/19,2021/03/31,NA,Alive,NA,,,,40,,
Kevin Watt,50,NA,20-1983,Graham,Graham,F,Adult,2021/02/19,2021/03/31,NA,Alive,NA,,,,40,,
Carolyn Shores,110,110,20-1427,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/18,2021/03/31,NA,Alive,NA,,,,41,,
Carolyn Shores,111,111,20-3387,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/18,2021/03/31,NA,Alive,NA,,,,41,,
Carolyn Shores,109,109,20-3388,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/18,2021/03/31,NA,Alive,NA,,,,41,,
Carolyn Shores,108,108,20-3390,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/18,2021/03/31,NA,Alive,NA,,,,41,,
Kevin Watt,44,NA,20-1911,Graham,Graham,F,Adult,2021/02/18,2021/03/31,NA,Alive,NA,,,,41,,
Kevin Watt,45,NA,20-1915,Graham,Graham,F,Adult,2021/02/18,2021/03/31,NA,Alive,NA,,,,41,,
Kevin Watt,46,NA,20-1926,Graham,Graham,F,Adult,2021/02/18,2021/03/31,NA,Alive,NA,,,,41,,
Kevin Watt,48,NA,20-1933,Graham,Graham,F,Adult,2021/02/18,2021/03/31,NA,Alive,NA,,,,41,,
