id,herd,year,enter.date,exit.date,event,enter,exit,time
1,Columbia North,2014,2014-04-25,2014-12-31,0,3,12,250
1,Columbia North,2015,2015-04-17,2015-12-30,0,3,12,257
1,Columbia North,2016,2016-01-02,2016-01-19,0,0,1,17
1,Columbia North,2017,2017-04-06,2017-11-29,0,3,11,237
1,Hart North,2002,2002-01-08,2002-12-31,0,0,12,357
1,Hart North,2003,2003-01-02,2003-12-30,0,0,12,362
1,Itcha-Ilgachuz,1996,1996-05-21,1996-12-31,0,4,12,224
1,Itcha-Ilgachuz,1997,1997-01-02,1997-12-31,0,0,12,363
1,Itcha-Ilgachuz,1998,1998-01-02,1998-12-31,0,0,12,363
1,Itcha-Ilgachuz,1999,1999-01-02,1999-12-31,0,0,12,363
1,Itcha-Ilgachuz,2000,2000-01-02,2000-12-31,0,0,12,364
1,Itcha-Ilgachuz,2001,2001-01-02,2001-12-31,0,0,12,363
1,Itcha-Ilgachuz,2002,2002-01-02,2002-09-16,1,0,9,257
1,Itcha-Ilgachuz,2012,2012-07-03,2012-12-31,0,6,12,181
1,Itcha-Ilgachuz,2013,2013-01-02,2013-12-31,0,0,12,363
1,Itcha-Ilgachuz,2014,2014-01-02,2014-12-31,0,0,12,363
1,Itcha-Ilgachuz,2015,2015-01-02,2015-04-02,0,0,4,90
1,Maligne,2002,2002-01-10,2002-12-31,0,0,12,355
1,Maligne,2003,2003-01-02,2003-12-31,0,0,12,363
1,Maligne,2004,2004-01-02,2004-12-31,0,0,12,364
1,Maligne,2005,2005-01-02,2005-12-31,0,0,12,363
1,Maligne,2006,2006-01-02,2006-12-31,0,0,12,363
1,Maligne,2007,2007-01-02,2007-12-04,1,0,12,336
10,Brazeau,2003,2003-01-12,2003-12-31,0,0,12,353
10,Brazeau,2004,2004-01-02,2004-12-31,0,0,12,364
10,Brazeau,2005,2005-01-02,2005-10-21,0,0,10,292
10,Columbia North,2014,2014-04-25,2014-11-16,0,3,11,205
10,Columbia South,1991,1991-12-04,1991-12-31,0,11,12,27
10,Columbia South,1992,1992-01-02,1992-12-31,0,0,12,364
10,Columbia South,1993,1993-01-02,1993-12-31,0,0,12,363
10,Columbia South,1994,1994-01-02,1994-12-31,0,0,12,363
10,Columbia South,1995,1995-01-02,1995-12-31,0,0,12,363
10,Columbia South,1996,1996-01-02,1996-12-31,0,0,12,364
10,Columbia South,1997,1997-01-02,1997-12-31,0,0,12,363
10,Columbia South,1998,1998-01-02,1998-01-28,1,0,1,26
10,Itcha-Ilgachuz,1996,1996-05-26,1996-12-31,0,4,12,219
10,Itcha-Ilgachuz,1997,1997-01-02,1997-12-31,0,0,12,363
10,Itcha-Ilgachuz,1998,1998-01-02,1998-12-31,0,0,12,363
10,Itcha-Ilgachuz,1999,1999-01-02,1999-12-31,0,0,12,363
10,Itcha-Ilgachuz,2000,2000-01-02,2000-12-31,0,0,12,364
10,Itcha-Ilgachuz,2001,2001-01-02,2001-12-31,0,0,12,363
10,Itcha-Ilgachuz,2002,2002-01-02,2002-11-14,0,0,11,316
10,Wells Gray North,1985,1985-12-29,1985-12-31,0,11,12,2
10,Wells Gray North,1986,1986-01-02,1986-12-31,0,0,12,363
10,Wells Gray North,1987,1987-01-02,1987-12-31,0,0,12,363
10,Wells Gray North,1988,1988-01-02,1988-12-16,0,0,12,349
100,Columbia North,2018,2018-03-14,2018-12-29,0,2,12,290
